Graph.Name,avg_invasion_time_beta0.2_gamma0.04,avg_prop_infected_beta0.2_gamma0.04,avg_invasion_time_beta0.1_gamma0.04,avg_prop_infected_beta0.1_gamma0.04,avg_invasion_time_beta0.05_gamma0.04,avg_prop_infected_beta0.05_gamma0.04,avg_invasion_time_beta0.025_gamma0.04,avg_prop_infected_beta0.025_gamma0.04,avg_invasion_time_beta0.01_gamma0.04,avg_prop_infected_beta0.01_gamma0.04,avg_invasion_time_beta0.2_gamma0.4,avg_prop_infected_beta0.2_gamma0.4,avg_invasion_time_beta0.1_gamma0.4,avg_prop_infected_beta0.1_gamma0.4,avg_invasion_time_beta0.05_gamma0.4,avg_prop_infected_beta0.05_gamma0.4,avg_invasion_time_beta0.025_gamma0.4,avg_prop_infected_beta0.025_gamma0.4,avg_invasion_time_beta0.01_gamma0.4,avg_prop_infected_beta0.01_gamma0.4,Fiedler,Spectral_radius,Network_size,Highest_degree,highest_degree_scaled,Modularity,central,Qrel,Mean_degree,Transitivity,Diameter,Mean_pathLength
insecta_beetle_group_c2_period_1,2.075757576,0.909652076,2.41025641,0.82288699,3.545454545,0.698412698,4.916666667,0.567283951,8.446153846,0.312820513,2.216216216,0.443943944,2.826086957,0.268384326,3.166666667,0.151851852,3.047619048,0.114638448,3.111111111,0.111111111,3.147031202,9.724218628,27,8,0.296296296,0.209474761,0.239750833,0.747936299,0.333333333,0.391431353,3,1.703703704
insecta_beetle_group_c2_period_2,2.052631579,0.922807018,2.597222222,0.861111111,2.605263158,0.779385965,3.813333333,0.634222222,5.253968254,0.411640212,2.026315789,0.584210526,2.375,0.371666667,3.016949153,0.240677966,3.266666667,0.126666667,3.058823529,0.107843137,1.816244446,14.35915902,30,9,0.3,0.166666667,0.238736781,0.5,0.448275862,0.543993879,3,1.574712644
insecta_beetle_group_c3_period_1,2.141025641,0.887820513,2.447368421,0.824718045,3.049180328,0.732435597,4.056338028,0.561871227,8.596774194,0.327764977,2.243243243,0.491795367,2.46031746,0.302721088,3.411764706,0.18697479,3.111111111,0.125661376,3.6,0.092857143,0.932183728,10.49242589,28,15,0.535714286,0.171406095,0.255106475,0.652322126,0.346560847,0.419277108,3,1.724867725
insecta_beetle_group_c3_period_2,2.128205128,0.889036251,2.267605634,0.850412822,3.473684211,0.759528131,4.41025641,0.630415561,7.220338983,0.404441847,2.164556962,0.554779572,2.457142857,0.376847291,3.677966102,0.207481005,3.172413793,0.158145065,4.2,0.096551724,0.962190758,13.72715388,29,3,0.103448276,0.130780156,0.212950891,0.76871119,0.428571429,0.543243243,3,1.625615764
insecta_beetle_group_c4_period_1,2.053333333,0.897333333,2.616438356,0.82739726,2.950617284,0.732921811,4.561643836,0.566666667,8.745762712,0.291525424,2.228571429,0.484761905,2.5625,0.288541667,3,0.161702128,2.730769231,0.124358974,3.545454545,0.084848485,3.217934159,10.4525889,30,28,0.933333333,0.20489393,0.216717369,0.697647553,0.317241379,0.415065334,3,1.71954023
insecta_beetle_group_c4_period_2,2.098765432,0.902469136,2.653333333,0.841333333,3.075949367,0.758227848,4.076923077,0.617948718,8.263157895,0.378947368,2.069444444,0.558333333,2.357142857,0.338095238,3.129032258,0.220430108,2.863636364,0.11969697,2.545454545,0.112121212,1.8094111,13.25814373,30,18,0.6,0.153159184,0.232362741,0.656016327,0.402298851,0.49883883,3,1.632183908
insecta_beetle_group_t1_period_1,2.151162791,0.901937984,2.210526316,0.852631579,2.694444444,0.755555556,4.256756757,0.599099099,10.1875,0.3171875,2.112676056,0.522535211,2.657534247,0.332876712,3.2,0.192,2.964285714,0.122619048,3.25,0.105555556,2.885079995,11.89316484,30,19,0.633333333,0.150206396,0.313776619,0.709212608,0.370114943,0.407553551,3,1.645977011
insecta_beetle_group_t2_period_1,2.052631579,0.928508772,2.328947368,0.854385965,2.679012346,0.777777778,4.0625,0.650833333,7.369230769,0.382051282,2.162162162,0.557657658,2.434210526,0.378070175,2.978723404,0.20212766,3.032258065,0.133333333,3.727272727,0.096969697,3.525317865,12.87806159,30,2,0.066666667,0.163615705,0.200976801,0.65237975,0.409195402,0.471448797,3,1.606896552
insecta_beetle_group_t3_period_1,2.054054054,0.917986952,2.292682927,0.867956266,2.893333333,0.774712644,4.026315789,0.652450091,8.582089552,0.407617087,2.157894737,0.579401089,2.38028169,0.383681399,3.052631579,0.211736237,3.5,0.13908046,2.909090909,0.094043887,3.546286363,13.54595204,29,3,0.103448276,0.135231481,0.225152625,0.707453704,0.443349754,0.50397878,3,1.566502463
insecta_beetle_group_t4_period_1,2.08,0.901333333,2.425,0.845,3.35443038,0.717299578,4.169014085,0.599530516,6.37704918,0.348087432,2.131578947,0.489035088,2.338709677,0.333333333,3.306122449,0.168027211,3.214285714,0.117857143,2.888888889,0.088888889,1.813016546,11.7893159,30,17,0.566666667,0.181706556,0.238949939,0.659125911,0.356321839,0.449732302,3,1.67816092
mammalia_asianelephant,4.321428571,0.551785714,5.183333333,0.418333333,10.66666667,0.270588235,10.24324324,0.217567568,13.5,0.165625,2.848484848,0.178787879,4.25,0.128125,2.4,0.135,4.333333333,0.116666667,100,0,0.101513687,2.987725244,20,15,0.75,0.503099174,0.247985348,0.684917355,0.115789474,0.069767442,7,3.447368421
mammalia_baboon_association_group01,2.833333333,0.916666667,4.384615385,0.942307692,11.44444444,0.722222222,12.72727273,0.590909091,17.66666667,0.583333333,3.2,0.55,2.666666667,0.583333333,12,0.5,3,0.5,3,0.5,4,3,4,3,0.75,0,0.236507937,NA,1,1,1,1
mammalia_baboon_association_group02,3,0.933333333,4.647058824,0.8,6.888888889,0.666666667,7.083333333,0.6,11.125,0.525,3.625,0.5875,2.6,0.52,2.8,0.52,3.25,0.4,2.5,0.4,2,3.323404276,5,2,0.4,0,0.25018315,NA,0.8,0.789473684,2,1.2
mammalia_baboon_association_group03,3.223684211,0.659610984,4.606060606,0.492094862,9.296296296,0.321256039,9.549019608,0.226768968,10.84848485,0.148880105,2.45,0.173913043,3.739130435,0.132325142,2.923076923,0.117056856,3,0.108695652,3,0.108695652,0.185151709,3.496467469,23,12,0.52173913,0.444444444,0.24004884,0.777777778,0.118577075,0.083333333,6,3.04743083
mammalia_baboon_association_group04,3.733333333,0.8,6.789473684,0.802631579,9,0.75,14.5,0.59375,12.75,0.5,2.333333333,0.666666667,2.666666667,0.5,4,0.5,2,0.5,100,0,1,2.170086487,4,4,1,0,0.302442002,NA,0.666666667,0.6,2,1.333333333
mammalia_baboon_association_group05,3.714285714,0.916666667,4.214285714,0.75,5.9,0.775,13.375,0.640625,24.75,0.59375,3,0.53125,2.6,0.55,3.666666667,0.5,4,0.5,100,0,1,2.170086487,4,2,0.5,0,0.012943289,NA,0.666666667,0.6,2,1.333333333
mammalia_baboon_association_group06,3.523809524,0.857142857,5.821428571,0.683673469,9.185185185,0.513227513,8.533333333,0.457142857,19.3,0.342857143,2.6,0.342857143,3.076923077,0.351648352,2.75,0.285714286,3.333333333,0.285714286,6.5,0.285714286,0.657076917,2.81622029,7,2,0.285714286,0.179012346,0.141304348,0.62345679,0.428571429,0.375,3,1.714285714
mammalia_baboon_association_group07,2.962264151,0.791273585,4.6,0.695454545,6.7,0.49,8.108695652,0.270380435,13.08333333,0.203125,2.825,0.3015625,2.68,0.1975,2.75,0.177083333,3,0.1625,5,0.125,0.664738311,4.113857965,16,12,0.75,0.295918367,0.057971014,0.581632653,0.233333333,0.211764706,4,2.15
mammalia_baboon_association_group08,2.912280702,0.693859649,4.573770492,0.592622951,6.37037037,0.411111111,12.85365854,0.269512195,12.23076923,0.178846154,3.12244898,0.245918367,3.681818182,0.204545455,2.733333333,0.133333333,4,0.125,3.4,0.12,0.40538115,4.45792539,20,12,0.6,0.375114784,0.173913043,0.738751148,0.173684211,0.267857143,5,2.457894737
mammalia_baboon_association_group09,4.780487805,0.634146341,5.5,0.520833333,6.45,0.36875,10.38709677,0.298387097,19.66666667,0.229166667,3.230769231,0.269230769,3,0.196969697,3.583333333,0.173611111,3.666666667,0.166666667,7,0.166666667,0.205980349,2.955913656,12,11,0.916666667,0.410714286,0.165591398,0.625,0.212121212,0.24,6,2.666666667
mammalia_baboon_association_group10,3.02,0.826153846,3.510638298,0.774140753,4.80952381,0.639194139,7,0.47467167,14.57692308,0.284023669,2.340425532,0.399345336,3.137931034,0.270557029,3.105263158,0.226720648,3.5,0.201923077,3.2,0.184615385,0.907482204,5.86450024,13,2,0.153846154,0.180175781,0.147368421,0.648925781,0.41025641,0.515923567,3,1.717948718
mammalia_baboon_association_group11,2.78,0.825714286,4.631578947,0.676691729,5.441860465,0.556478405,7.692307692,0.335164835,15.16666667,0.206349206,3.064516129,0.306451613,2.954545455,0.230519481,3.153846154,0.208791209,2,0.178571429,100,0,0.746177262,4.028829002,14,10,0.714285714,0.3464,0.047619048,0.6264,0.274725275,0.346153846,4,2.010989011
mammalia_baboon_association_group12,4.363636364,0.848484848,7.882352941,0.803921569,6,0.777777778,16.2,0.8,100,0,3.2,0.7,2,0.666666667,2,0.666666667,100,0,100,0,1,1.414213562,3,2,0.666666667,0,0.108374384,NA,0.666666667,0,2,1.333333333
mammalia_baboon_association_group13,4.307692308,0.820512821,8.5,0.833333333,5.875,0.791666667,15.71428571,0.761904762,40.5,0.75,3.166666667,0.666666667,6.5,0.666666667,3.4,0.666666667,4,0.833333333,100,0,1,1.414213562,3,2,0.666666667,0,0.092342342,NA,0.666666667,0,2,1.333333333
