,Network,avg_invasion_time_beta0.1,avg_invasion_time_beta0.05,avg_prop_infected_beta0.1,avg_prop_infected_beta0.05,no_invasion_beta0.1,no_invasion_beta0.05,Fiedler,Adj_val,Rnot,network_size,most_infected_node,Modularity,Mean_degree,Centrality,transitivity.gcc_s..type....global..,Diameter
457,mammalia_raccoon_proximity_41,2.416666667,4.9,0.229166667,0.622222222,76,20,0.595689664,6.856920228,0.145838068,18,12,0.311453146,0.307189542,6.856920228,0.584269663,4
458,mammalia_raccoon_proximity_42,2.958333333,6.074074074,0.181372549,0.469862019,76,19,0.142932382,5.531218756,0.180791982,17,8,0.445306122,0.257352941,5.531218756,0.642857143,6
459,mammalia_raccoon_proximity_43,2.833333333,5.61971831,0.23125,0.491197183,70,29,0.329478048,4.612598436,0.216797541,16,7,0.394173603,0.241666667,4.612598436,0.445544554,6
460,mammalia_raccoon_proximity_44,2.857142857,4.929824561,0.288095238,0.656432749,65,43,1.251309442,5.782990879,0.172920902,12,2,0.241415193,0.46969697,5.782990879,0.583892617,3
461,mammalia_raccoon_proximity_45,2.833333333,7.079365079,0.266025641,0.551892552,76,37,0.349726123,4.681683683,0.213598369,13,6,0.3496,0.320512821,4.681683683,0.573033708,5
462,mammalia_raccoon_proximity_46,2.928571429,5.315789474,0.232142857,0.542397661,86,43,0.635296764,4.416220883,0.226437949,12,6,0.369565217,0.348484848,4.416220883,0.512195122,3
463,mammalia_raccoon_proximity_47,2.764705882,4.938461538,0.221719457,0.537278107,83,35,0.614955365,4.160428268,0.240359871,13,1,0.350694444,0.307692308,4.160428268,0.394736842,4
464,mammalia_raccoon_proximity_48,3.157894737,6.8125,0.233082707,0.494419643,81,36,0.426515133,3.962659996,0.252355741,14,10,0.374291115,0.252747253,3.962659996,0.421875,5
465,mammalia_raccoon_proximity_49,2.636363636,6,0.268595041,0.585858586,78,37,0.643351691,4.420847511,0.226200971,11,1,0.354338843,0.4,4.420847511,0.648648649,4
466,mammalia_raccoon_proximity_5,2.872340426,4.02247191,0.209864603,0.637385087,53,11,0.605527505,7.185084974,0.139177199,22,17,0.33002896,0.29004329,7.185084974,0.480916031,4
467,mammalia_raccoon_proximity_50,2.793103448,5.153846154,0.19612069,0.506410256,71,22,0.419286533,4.929652,0.202854076,16,11,0.407254362,0.275,4.929652,0.568181818,4
468,mammalia_raccoon_proximity_51,3.173913043,6.492753623,0.228985507,0.51884058,77,31,0.484848687,4.987780784,0.200489966,15,9,0.380622837,0.323809524,4.987780784,0.563909774,5
